Total trades,Wins,Losses,Win rate %,Total PnL %,Avg PnL %,Max Drawdown %,Total Fees,stop,take,status
377,256,121,67.9,62.97,0.17,-14.37,1158.45,0.05,0.07,ok
377,256,121,67.9,62.74,0.17,-14.37,1158.55,0.05,0.1,ok
377,256,121,67.9,62.34,0.17,-13.77,1158.54,0.05,0.12,ok
377,256,121,67.9,61.87,0.16,-14.37,1158.52,0.05,0.08,ok
377,256,121,67.9,61.74,0.16,-14.37,1158.53,0.05,0.09,ok
377,256,121,67.9,61.73,0.16,-14.37,1158.53,0.05,0.11,ok
377,256,121,67.9,59.24,0.16,-14.37,1158.39,0.05,0.06,ok
377,256,121,67.9,53.98,0.14,-14.16,1158.46,0.05,0.05,ok
377,233,144,61.8,38.25,0.1,-18.63,1158.74,0.03,0.1,ok
377,233,144,61.8,37.37,0.1,-18.63,1158.71,0.03,0.08,ok
377,233,144,61.8,37.25,0.1,-18.63,1158.72,0.03,0.09,ok
377,233,144,61.8,37.24,0.1,-18.63,1158.72,0.03,0.11,ok
377,233,144,61.8,37.24,0.1,-18.63,1158.72,0.03,0.12,ok
377,245,132,64.99,36.11,0.1,-28.29,1158.64,0.04,0.07,ok
377,245,132,64.99,35.88,0.1,-28.29,1158.75,0.04,0.1,ok
377,256,121,67.9,35.55,0.09,-15.16,1158.46,0.05,0.04,ok
377,233,144,61.8,35.51,0.09,-18.63,1158.67,0.03,0.07,ok
377,245,132,64.99,35.0,0.09,-28.29,1158.72,0.04,0.08,ok
377,245,132,64.99,34.88,0.09,-28.29,1158.73,0.04,0.09,ok
377,245,132,64.99,34.87,0.09,-28.29,1158.73,0.04,0.11,ok
377,245,132,64.99,34.87,0.09,-28.29,1158.73,0.04,0.12,ok
377,233,144,61.8,32.78,0.09,-18.63,1158.61,0.03,0.06,ok
377,245,132,64.99,32.38,0.09,-28.29,1158.59,0.04,0.06,ok
377,233,144,61.8,28.45,0.08,-18.42,1158.68,0.03,0.05,ok
377,245,132,64.99,27.12,0.07,-28.08,1158.65,0.04,0.05,ok
377,257,120,68.17,16.3,0.04,-15.86,1158.15,0.05,0.03,ok
377,233,144,61.8,12.53,0.03,-19.42,1158.66,0.03,0.04,ok
377,245,132,64.99,8.69,0.02,-29.08,1158.65,0.04,0.04,ok
377,234,143,62.07,-5.33,-0.01,-20.12,1158.39,0.03,0.03,ok
377,190,187,50.4,-10.18,-0.03,-27.01,1158.63,0.02,0.1,ok
377,190,187,50.4,-11.06,-0.03,-25.29,1158.59,0.02,0.08,ok
377,190,187,50.4,-11.18,-0.03,-27.01,1158.6,0.02,0.09,ok
377,190,187,50.4,-11.19,-0.03,-27.01,1158.6,0.02,0.11,ok
377,190,187,50.4,-11.19,-0.03,-27.01,1158.6,0.02,0.12,ok
377,246,131,65.25,-11.56,-0.03,-33.27,1158.37,0.04,0.03,ok
377,191,186,50.66,-13.19,-0.03,-24.3,1158.6,0.02,0.05,ok
377,190,187,50.4,-14.08,-0.04,-27.29,1158.54,0.02,0.07,ok
377,190,187,50.4,-16.18,-0.04,-28.2,1158.5,0.02,0.06,ok
377,191,186,50.66,-26.7,-0.07,-31.91,1158.55,0.02,0.04,ok
377,192,185,50.93,-45.5,-0.12,-51.15,1158.34,0.02,0.03,ok
